Usuario,ID del tweet,Contenido
GustavoBolivar,1690888474843373568,"Ya van dos noticias completamente falsas. Las cinco maletas de Semana y esta de Caracol. No pensé que llegarán a tanta bajeza. De inmediato les exijo rectificar esa información falsa. Nunca hice manifestación en Yopal, nunca se recibió aportes de nadie del Casanare. Las personas que mencionan aquí no son directivos ni de Colombia Humana ni del Pacto. La persona encargada de la campaña en Casanare se llama Sonia Bernal y no Sonia Navarro."
GustavoBolivar,1690880783274115072,"#NCInvestiga | El capo y la campaña: Noticias Caracol revela cómo un narcotraficante extraditado y reincidente, junto con su esposa, apoyaron la campaña de Gustavo Petro en Yopal, Casanare. Videos, audios e interceptaciones hacen parte de las evidencias que abrirían una nueva investigación por presunta financiación ilegal"
GustavoBolivar,1687459496883359745,No cayó Samper ante evidente entrada de dinero del cartel de Cali
GustavoBolivar,1691085886279086080,"RT @GustavoBolivar: #YoVotoPor cuando les digan que odio a los policías, muéstrenles este video. Gracias."
GustavoBolivar,1690931773998239744,"#YoVotoPor cuando les digan que odio a los policías, muéstrenles este video. Gracias."
GustavoBolivar,1677317418354638848,"If you own a mouse, you will never turn off your computer again."
GustavoBolivar,1691079576561111040,"RT @Betocoralg: Este fue el preciso instante en donde @GustavoBolivar ganó no solo el debate, sino la alcaldía. Grande! https://t.co/p6YW5BBOEC"
GustavoBolivar,1690896615392047104,"Este fue el preciso instante en donde @GustavoBolivar ganó no solo el debate, sino la alcaldía. Grande! https://t.co/p6YW5BBOEC"
GustavoBolivar,1691051201993809920,"En Colombia la política ya no se divide entre liberales y conservadores, o neoliberales y progresistas. Ni entre quienes consideran que el Estado Debe subsanar los desequilibrios Sociales y quienes dejan todo a la mano poderosa de la libre competencia. NO."
GustavoBolivar,1690768726788820992,RT @GustavoBolivar: Desde las 11 AM estaré compartiendo opiniones en #LosDanieles
GustavoBolivar,1690739071058903040,Desde las 11 AM estaré compartiendo opiniones en #LosDanieles
GustavoBolivar,1690699898465714177,RT @GustavoBolivar: Según este video toca mentir para ser Alcalde.
GustavoBolivar,1690566990350397440,Según este video toca mentir para ser Alcalde.
GustavoBolivar,1690476105671553024,RT @GustavoBolivar: VOLUNTARIOS
GustavoBolivar,1690395286919643136,VOLUNTARIOS
GustavoBolivar,1690467781353836544,"RT @GermanUmanaM: Es motivo de orgullo para mí lanzar hoy, desde @MincomercioCo, la estrategia nacional e internacional de Marca País Colombia #PaísDeLaBelleza, para cumplir con los objetivos del Gobierno del presidente @petrogustavo. https://t.co/6jBRkyCmdu"
GustavoBolivar,1689682174348337165,"Es motivo de orgullo para mí lanzar hoy, desde @MincomercioCo, la estrategia nacional e internacional de Marca País Colombia #PaísDeLaBelleza, para cumplir con los objetivos del Gobierno del presidente @petrogustavo. https://t.co/6jBRkyCmdu"
GustavoBolivar,1690362566541762560,RT @GustavoBolivar: Solo podemos decir:
GustavoBolivar,1690342844559507456,Solo podemos decir:
GustavoBolivar,1690344172538986496,"RT @datoatipico: La @CConstitucional llama al presidente @petrogustavo para que explique la emergencia en la Guajira, él acude sin ningún reclamo reconociendo el poder de la rama judicial y los medios prácticamente no cubren la noticia y algunos no lo bajan de dictador."
GustavoBolivar,1690196711782690816,"La @CConstitucional llama al presidente @petrogustavo para que explique la emergencia en la Guajira, él acude sin ningún reclamo reconociendo el poder de la rama judicial y los medios prácticamente no cubren la noticia y algunos no lo bajan de dictador."
GustavoBolivar,1690198331719380992,RT @GustavoBolivar: #NuevaFotoDePerfil
GustavoBolivar,1690154010567737344,#NuevaFotoDePerfil
GustavoBolivar,1690190675394826240,Completa. https://t.co/XodWDSGnNL
GustavoBolivar,1690182544677871616,RT @GustavoBolivar: Todo su odio y frustración se resume en 3 hechos:
GustavoBolivar,1690135111293972480,Todo su odio y frustración se resume en 3 hechos:
GustavoBolivar,1687459496883359745,No cayó Samper ante evidente entrada de dinero del cartel de Cali
GustavoBolivar,1690109966886019073,"RT @Uriasv: Circula en las redes una calumnia burda del señor  @OtraPreguntaA, integrante del MOIR y fanático acérrimo de Robledo, en la que se acusa al futuro alcalde de Bogotá Gustavo Bolivar @GustavoBolivar de tres ""delitos"" sumamente serios:"
GustavoBolivar,1690084763971772416,"Circula en las redes una calumnia burda del señor  @OtraPreguntaA, integrante del MOIR y fanático acérrimo de Robledo, en la que se acusa al futuro alcalde de Bogotá Gustavo Bolivar @GustavoBolivar de tres ""delitos"" sumamente serios:"
GustavoBolivar,1672371452929273857,"If you own a mouse, you will never turn off your computer again."
GustavoBolivar,1690106660415500288,RT @DCoronell: #ElReporteCoronell Las visitas de Daniel García Arizabaleta a Palacio en el gobierno de @AlvaroUribeVel. El expresidente aseguró que García Arizabaleta solo empezó a trabajar para Odebrecht en 2010. La justicia tiene pruebas de pagos desde 2009 @WRadioColombia
GustavoBolivar,1677289387116093443,#ElReporteCoronell Las visitas de Daniel García Arizabaleta a Palacio en el gobierno de @AlvaroUribeVel. El expresidente aseguró que García Arizabaleta solo empezó a trabajar para Odebrecht en 2010. La justicia tiene pruebas de pagos desde 2009 @WRadioColombia
GustavoBolivar,1690080755416748032,RT @GustavoBolivar: La niña fue abusada por estos 4 patrulleros:
GustavoBolivar,1690003696698916864,La niña fue abusada por estos 4 patrulleros:
GustavoBolivar,1690001163167412224,🧵
GustavoBolivar,1689855056370122752,"RT @petrogustavo: Mi constancia sobre la llamada del grupo AVAL y Sarmiento por parte de la Justicia de los EEUU por romper la ley anticorrupción. Ojo pequeños accionistas, trabajadores del grupo AVAL y cotizantes de fondos privados: https://t.co/npoto1EcA5"
GustavoBolivar,1072984025223053312,"Mi constancia sobre la llamada del grupo AVAL y Sarmiento por parte de la Justicia de los EEUU por romper la ley anticorrupción. Ojo pequeños accionistas, trabajadores del grupo AVAL y cotizantes de fondos privados: https://t.co/npoto1EcA5"
GustavoBolivar,1689839405907767297,"Si grupo Aval es inocente, por qué tiene que pagar 40 millones de dólares (160 mil millones de pesos) a los Estados Unidos por la corrupción de Odebrecht? https://t.co/sKpO7tauEj"
GustavoBolivar,1689828846239924224,"RT @GustavoBolivar: Esta ciclovía nocturna, en una ciudad absolutamente colapsada, hay q replantearla."
GustavoBolivar,1689781814208991232,"Esta ciclovía nocturna, en una ciudad absolutamente colapsada, hay q replantearla."
